BenIncognito,DeltaBot,Dr_Merkwurdigliebe,GameboyPATH,GnosticGnome,Grunt08,IAmAN00bie,Joined_Today,Mod_Button_Bot,ModeratorToaster,Nepene,PepperoniFire,PixelOrange,Snorrrlax,TryUsingScience,Yanky_Doodle_Dickwad,bubi09,computanti,convoces,cwenham,garnteller,hacksoncode,howbigis1gb,huadpe,mehatch,protagornast,qtx,spblat,count
2,1,0,0,1,2,1,0,1,1,2,1,0,2,2,0,1,0,2,2,2,2,1,1,1,1,1,0,30
1,2,0,0,1,1,1,0,1,1,1,1,0,2,1,0,1,0,1,2,2,2,0,1,1,1,1,0,25
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,4,2,1,0,1,1,3,2,0,2,3,0,3,0,3,3,4,4,1,2,3,2,1,0,47
2,1,0,0,2,3,1,0,1,1,3,2,0,3,3,0,2,0,3,3,3,3,2,2,2,2,1,0,45
1,1,0,0,1,1,10,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,2,0,30
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,0,1,1,1,0,7,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,26
1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,20
2,1,0,0,3,3,1,0,1,1,6,2,0,3,4,0,3,0,4,4,4,4,2,2,3,2,1,0,56
1,1,0,0,2,2,1,0,1,1,2,8,0,4,2,0,2,0,2,2,2,2,1,4,4,2,1,0,47
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5
2,2,0,0,2,3,1,0,1,1,3,4,1,11,3,0,2,0,4,4,5,6,2,3,4,2,1,0,67
2,1,0,0,3,3,1,0,1,1,4,2,0,3,7,0,3,0,4,4,4,4,2,2,3,2,1,0,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15
1,1,0,0,3,2,1,0,1,1,3,2,0,2,3,0,3,0,3,3,3,3,1,2,3,2,1,0,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,3,3,1,0,1,1,4,2,1,4,4,0,3,0,8,4,5,5,2,2,3,2,1,0,62
2,2,0,0,3,3,1,0,1,1,4,2,0,4,4,0,3,0,4,23,5,5,2,2,3,2,1,0,77
2,2,0,0,4,3,1,0,1,1,4,2,1,5,4,0,3,0,5,5,9,7,2,2,3,3,1,1,71
2,2,0,0,4,3,1,0,1,1,4,2,1,6,4,0,3,0,5,5,7,9,3,2,3,2,1,0,71
1,0,0,0,1,2,0,0,0,0,2,1,0,2,2,0,1,0,2,2,2,3,3,1,1,1,0,0,27
1,1,0,0,2,2,1,0,1,1,2,4,0,3,2,0,2,0,2,2,2,2,1,6,3,2,1,0,43
1,1,0,0,3,2,1,0,1,1,3,4,0,4,3,0,3,0,3,3,3,3,1,3,49,2,1,0,95
1,1,0,0,2,2,1,0,1,1,2,2,0,2,2,0,2,0,2,2,3,2,1,2,2,8,1,1,43
1,1,0,0,1,1,2,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,36,0,56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,9
30,25,6,1,47,45,30,2,26,20,56,47,5,67,57,15,44,1,62,77,71,71,27,43,95,43,56,9,1078
