name,mode
Trumpropriation,0
nBob20,0
zettapede,0
lolmonger,0
TheGhostOfTzvika,0
Ditario,0
thatawsomedude1,0
Trumpshaker,0
Knollsit,0
AliceOxalis,0
B_T_F_O,0
Trump-For-Life,0
Trumpirium,0
TheGreatRoh,0
coldfusion718,0
OhSnapYouGotServed,0
pancakees,0
KinOfMany,0
GayLubeOil,0
WeWantTrump,0
NYPD-32,0
McChaffee,0
Eeeveee,0
Bananagans,0
scientistthrowaway23,0
shadowman3001,0
UpVoter3145,0
WarOfTheFanboys,0
CURVEDHOLLOWFANGS,0
TrumpSRB,0
RossTheColonel,0
pnwfreedom,0
Suturetech,0
TalktoberryFin,0
Darth_Venath,0
Defenestration1618,0
kdladd,0
rightc0ast,0
Katfish29,0
purpletricycle,0
hennny,0
mivvan,0
kwiztas,0
Taylor814,0
COINTELPROAgent,0
lnternational,0
Medically,0
DrWeeGee,0
rsashe1980,0
USofTrump,0
PrinceCamelton,0
HIGH_ENERGY_MEMES,0
D4rkd3str0yer,0
usatrump,0
richmomz,0
Grakmarr,0
moskies,0
r/HillaryMeltdown,1
r/The_DonaldBookclub,1
r/LiberalMeltdown,1
r/disinformation,1
r/Trumpland,1
r/HillaryForPrison,1
r/45th_President,1
r/The_Forrest,1
r/DisavowSanders,1
r/WomenMirinTrump,1
r/PromiseToAssimilate,1
r/NotMyPresident_News,1
r/Trumplicans,1
r/Sorosforprison,1
r/Our_Politics,1
r/AskThe_Donald,1
r/The_Farage,1
r/The_Nehlen,1
r/The_Donald_Backup,1
